country,TER,EPR,INF,GDPpc,GURY
Australia,104.6483536,64.334,5.597014925,64835.92,2.372
Austria,91.68182373,57.649,7.81413417,56033.5738,3.6
Canada,76.25862122,61.822,3.879001598,49200.8102,4.236
Denmark,81.2308197,60.504,3.305178112,68453.8769,3.855
Finland,108.1304092,55.965,6.250643222,52821.5114,4.537
France,70.4536438,51.561,4.878357265,82304.6204,4.956
Germany,78.59474945,59.241,5.946436677,44690.9345,2.107
Greece,165.1134186,46.091,2.696122698,23400.7279,8.153
Italy,75.94965363,46.002,5.622194422,39065.4244,3.82
Luxembourg,21.53717041,58.335,3.74140362,131407.681,3.739
Netherlands,86.59382629,65.184,3.838393543,54220.3285,2.472
Norway,95.05738068,62.882,5.517849871,87497.3289,2.264
Poland,76.87940979,57.268,11.5289128,22145.2643,1.28
Singapore,97.28865469,66.984,4.833723628,85412.2304,3.446
Spain,93.73034668,50.675,3.532361335,33509.0128,7.287
Sweden,81.39981842,60.077,8.548624897,55567.089,3.906
Switzerland,74.00608826,64.65,2.13540088,100631.803,3.07
UAE,61.34561144,75.789,1.626708372,49040.6948,2.659
United Kingdom,80.49877167,59.323,6.793967068,53940.4073,2.598
United States,79.36193085,59.821,4.116338384,64572.006,2.373
